Date,Time,Account,CallerID,Destination,Description,Seconds,Rate,Total,UniqueID
2022-09-19,21:36:36,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,9,0,0,2975591631
2022-09-19,21:36:36,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,53,0,0,2975591901
2022-09-19,21:35:23,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,39,0,0,2975591367
2022-09-19,21:33:39,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 514 Quebec,72,0.0042,0.005,2975590963
2022-09-19,21:32:46,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,54,0,0,2975590399
2022-09-19,21:32:38,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,13,0,0,2975590075
2022-09-19,21:31:45,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,56,0,0,2975589999
2022-09-19,21:30:45,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,1,0,0,2975589159
2022-09-19,21:29:46,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 514 Quebec,65,0.0042,0.0046,2975589369
2022-09-19,21:29:24,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,51,0,0,2975588955
2022-09-19,21:29:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,120,0,0,2975589293
2022-09-19,21:28:30,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,52,0,0,2975588573
2022-09-19,21:28:09,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,121,0,0,2975588896
2022-09-19,21:28:06,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,97,0,0,2975588742
2022-09-19,21:27:50,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,92,0,0,2975588586
2022-09-19,21:27:45,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,22,0,0,2975588061
2022-09-19,21:27:01,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 438 Quebec,30,0.0042,0.0021,2975588032
2022-09-19,21:24:31,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,87,0,0,2975587207
2022-09-19,21:23:54,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 418 Quebec City,7,0.0042,0.0008,2975586405
2022-09-19,21:23:14,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,73,0,0,2975586508
2022-09-19,21:23:08,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,2,0,0,2975585967
2022-09-19,21:23:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,7,0,0,2975585968
2022-09-19,21:22:54,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,6,0,0,2975585884
2022-09-19,21:21:58,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,53,0,0,2975585795
2022-09-19,21:21:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 514 Quebec,56,0.0042,0.0042,2975585985
2022-09-19,21:21:29,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,65,0,0,2975585709
2022-09-19,21:20:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,27,0,0,2975584967
2022-09-19,21:20:00,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,22,0,0,2975584765
2022-09-19,21:19:52,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 514 Quebec,47,0.0042,0.0034,2975585046
2022-09-19,21:19:21,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 438 Quebec,0,0.0042,0,2975584695
2022-09-19,21:18:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,38,0,0,2975584161
2022-09-19,21:17:55,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,55,0,0,2975584076
2022-09-19,21:17:52,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,41,0,0,2975583931
2022-09-19,21:17:37,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Outbound - Customer,54,0,0,2975583930
2022-09-19,21:17:37,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound - Local Caller,54,0,0,2975583944
2022-09-19,21:17:32,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,52,0,0,2975583908
2022-09-19,21:17:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 514 Quebec,23,0.0042,0.0017,2975583693
2022-09-19,21:17:05,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,35,0,0,2975583592
2022-09-19,21:17:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,42,0,0,2975583631
2022-09-19,21:16:56,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,6,0,0,2975583272
2022-09-19,21:16:49,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Outbound - Customer,35,0,0,2975583450
2022-09-19,21:16:49,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound - Local Caller,35,0,0,2975583460
2022-09-19,21:16:37,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,24,0,0,2975583275
2022-09-19,21:16:06,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,51,0,0,2975583242
2022-09-19,21:16:03,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,92,0,0,2975583557
2022-09-19,21:14:36,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,67,0,0,2975582671
2022-09-19,21:14:28,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,7,0,0,2975582144
2022-09-19,21:13:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 819 Quebec,43,0.0042,0.0034,2975581995
2022-09-19,21:13:07,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Toll Free,24,0,0,2975581710
2022-09-19,21:13:07,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 418 Quebec City,32,0.0042,0.0025,2975581762
2022-09-19,21:12:22,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 438 Quebec,68,0.0042,0.005,2975581690
2022-09-19,21:12:12,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,3,0.009,0.0009,2975581211
2022-09-19,21:11:41,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,5,0,0,2975580905
2022-09-19,21:10:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,100,0,0,2975581177
2022-09-19,21:10:31,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 514 Quebec,639,0.0042,0.0449,2975585227
2022-09-19,21:10:02,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,36,0,0,2975580409
2022-09-19,21:09:55,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,52,0,0,2975580494
2022-09-19,21:09:39,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 514 Quebec,146,0.0042,0.0105,2975581190
2022-09-19,21:09:30,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 438 Quebec,80,0.0042,0.0059,2975580672
2022-09-19,21:08:51,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 514 Quebec,13,0.0042,0.0013,2975579736
2022-09-19,21:08:31,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,13,0,0,2975579505
2022-09-19,21:08:26,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound Internal  EXT105201,0,0,0,2975579471
2022-09-19,21:08:15,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,107,0,0,2975580147
2022-09-19,21:08:14,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,44,0,0,2975579612
2022-09-19,21:08:12,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 450 Quebec,15,0.0042,0.0013,2975579452
2022-09-19,21:07:26,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 514 Quebec,10,0.0042,0.0008,2975579214
2022-09-19,21:06:58,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,55,0,0,2975579115
2022-09-19,21:06:36,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,1,0,0,2975578466
2022-09-19,21:05:26,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,52,0,0,2975578301
2022-09-19,21:05:26,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 438 Quebec,214,0.0042,0.0151,2975579705
2022-09-19,21:05:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 438 Quebec,3,0.0042,0.0004,2975577926
2022-09-19,21:05:16,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,7,0,0,2975577873
2022-09-19,21:05:10,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 438 Quebec,7,0.0042,0.0008,2975577836
2022-09-19,21:05:08,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 819 Quebec,74,0.0042,0.0055,2975578488
2022-09-19,21:05:06,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 438 Quebec,8,0.0042,0.0008,2975577838
2022-09-19,21:05:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 581 Quebec City,26,0.0042,0.0021,2975577970
2022-09-19,21:04:56,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,21,0,0,2975577844
2022-09-19,21:04:51,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,28,0,0,2975577839
2022-09-19,21:04:28,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,46,0,0,2975577801
2022-09-19,21:04:27,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 819 Quebec,98,0.0042,0.0071,2975578270
2022-09-19,21:04:24,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,22,0,0,2975577603
2022-09-19,21:04:12,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 438 Quebec,1064,0.0042,0.0748,2975585465
2022-09-19,21:03:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 514 Quebec,77,0.0042,0.0055,2975577710
2022-09-19,21:02:57,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,39,0,0,2975577046
2022-09-19,21:02:52,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 438 Quebec,238,0.0042,0.0168,2975578682
2022-09-19,21:02:49,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,171,0,0,2975577989
2022-09-19,21:02:28,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,235,0,0,2975578355
2022-09-19,21:02:23,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 450 Quebec,15,0.0042,0.0013,2975576690
2022-09-19,21:02:15,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,45,0,0,2975576751
2022-09-19,21:02:07,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Inbound DID,38,0,0,2975576616
2022-09-19,21:02:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 819 Quebec,0,0.0042,0,2975576351
2022-09-19,21:02:04,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 514 Quebec,4,0.0042,0.0004,2975576643
2022-09-19,21:01:41,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound Internal  EXT105201,0,0,0,2975576471
2022-09-19,21:01:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound Internal  EXT012270,0,0,0,2975575968
2022-09-19,21:01:18,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound Internal  EXT121250,16,0,0,2975576032
2022-09-19,21:00:49,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 819 Quebec,131,0.0042,0.0092,2975576825
2022-09-19,21:00:18,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 438 Quebec,39,0.0042,0.0029,2975575911
2022-09-19,21:00:13,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 819 Quebec,54,0.0042,0.0038,2975575785
2022-09-19,20:59:39,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,17,0,0,2975575195
2022-09-19,20:59:13,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 514 Quebec,27,0.0042,0.0021,2975575138
2022-09-19,20:58:58,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,89,0,0,2975575467
2022-09-19,20:58:53,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 438 Quebec,11,0.0042,0.0008,2975574990
2022-09-19,20:58:44,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 514 Quebec,65,0.0042,0.0046,2975575180
2022-09-19,20:58:34,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 581 Quebec City,16,0.0042,0.0013,2975574889
2022-09-19,20:58:31,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 418 Quebec City,0,0.0042,0,2975574602
2022-09-19,20:58:28,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 581 Quebec City,246,0.0042,0.0172,2975576709
2022-09-19,20:58:21,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,124,0,0,2975575450
2022-09-19,20:58:15,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 514 Quebec,176,0.0042,0.0126,2975575898
2022-09-19,20:58:10,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 819 Quebec,5,0.0042,0.0004,2975574610
2022-09-19,20:58:08,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 819 Quebec,0,0.0042,0,2975574389
2022-09-19,20:57:48,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound Internal  EXT073203,0,0,0,2975574438
2022-09-19,20:57:38,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,2,0,0,2975574122
2022-09-19,20:57:28,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 514 Quebec,35,0.0042,0.0025,2975574533
2022-09-19,20:57:19,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 418 Quebec City,23,0.0042,0.0017,2975574168
2022-09-19,20:56:59,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 819 Quebec,8,0.0042,0.0008,2975574132
2022-09-19,20:56:58,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 450 Quebec,17,0.0042,0.0013,2975574006
2022-09-19,20:56:53,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 819 Quebec,53,0.0042,0.0038,2975574260
2022-09-19,20:56:32,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 438 Quebec,11,0.0042,0.0008,2975573652
2022-09-19,20:56:19,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 418 Quebec City,68,0.0042,0.005,2975574094
2022-09-19,20:56:16,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 418 Quebec City,0,0.0042,0,2975573476
2022-09-19,20:56:14,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Outbound - Customer,101,0,0,2975574232
2022-09-19,20:56:14,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound - Local Caller,101,0,0,2975574251
2022-09-19,20:56:03,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound DID,135,0,0,2975574437
2022-09-19,20:55:47,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 514 Quebec,91,0.0042,0.0067,2975574038
2022-09-19,20:55:32,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 514 Quebec,71,0.0042,0.005,2975573866
2022-09-19,20:55:27,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,67,0,0,2975573531
2022-09-19,20:55:24,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 647 Ontario,125,0.0042,0.0088,2975574099
2022-09-19,20:55:19,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 438 Quebec,356,0.0042,0.0252,2975575946
2022-09-19,20:55:06,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Inbound Internal  EXT117230,9,0,0,2975572923
2022-09-19,20:55:06,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 418 Quebec City,10,0.0042,0.0008,2975572978
2022-09-19,20:54:44,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,72,0,0,2975573213
2022-09-19,20:54:30,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,42,0,0,2975572817
2022-09-19,20:54:12,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 450 Quebec,51,0.0042,0.0038,2975572791
2022-09-19,20:54:07,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 514 Quebec,740,0.0042,0.0521,2975578513
2022-09-19,20:54:05,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 514 Quebec,103,0.0042,0.0076,2975573242
2022-09-19,20:53:59,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 819 Quebec,0,0.0042,0,2975572448
2022-09-19,20:53:48,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 819 Quebec,17,0.0042,0.0013,2975572762
2022-09-19,20:53:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,94,0,0,2975572848
2022-09-19,20:53:39,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,455,0,0,2975575839
2022-09-19,20:53:29,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 819 Quebec,0,0.0042,0,2975572125
2022-09-19,20:53:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 819 Quebec,0,0.0042,0,2975571988
2022-09-19,20:53:14,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 819 Quebec,156,0.0042,0.0109,2975573276
2022-09-19,20:53:01,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Canada - 819 Quebec,0,0.0042,0,2975571782
2022-09-19,20:52:51,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,51,0,0,2975572065
2022-09-19,20:52:50,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 514 Quebec,87,0.0042,0.0063,2975572424
2022-09-19,20:52:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 819 Quebec,0,0.0042,0,2975571740
2022-09-19,20:52:43,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 514 Quebec,109,0.0042,0.008,2975572603
2022-09-19,20:52:28,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,50,0,0,2975571838
2022-09-19,20:52:24,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,304,0,0,2975574010
2022-09-19,20:52:23,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Canada - 514 Quebec,218,0.0042,0.0155,2975573439
2022-09-19,20:52:11,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Inbound DID,24,0,0,2975571519
2022-09-19,20:52:05,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 514 Quebec,145,0.0042,0.0105,2975572560
2022-09-19,20:52:01,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 418 Quebec City,20,0.0042,0.0017,2975571493
2022-09-19,20:51:57,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Canada - 819 Quebec,0,0.0042,0,2975571392
2022-09-19,20:51:44,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4180000000,Inbound DID,96,0,0,2975571858
2022-09-19,20:51:34,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5145551212,Inbound DID,8,0,0,2975570997
2022-09-19,20:51:27,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4505550000,Canada - 819 Quebec,5,0.0042,0.0004,2975571067
2022-09-19,20:51:25,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,5140000000,Canada - 450 Quebec,99,0.0042,0.0071,2975571825
2022-09-19,20:51:24,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,4380000000,Canada - 514 Quebec,43,0.0042,0.0034,2975571346
2022-09-19,20:51:16,10000_SUBACCOUNT,SAMMY COMTOIS <4388800000>,8190000000,Inbound DID,124,0,0,2975571857
